gap,count
1,1
2,119165
4,118768
6,204398
8,87747
10,112627
12,137667
14,74452
16,53696
18,94931
20,48528
22,42329
24,60335
26,27494
28,29775
30,49945
32,14840
34,15501
36,24265
38,10788
40,12827
42,17472
44,6884
46,5805
48,9571
50,5213
52,3844
54,6205
56,2951
58,2680
60,4970
62,1489
64,1562
66,2663
68,991
70,1425
72,1260
74,663
76,516
78,996
80,476
82,338
84,726
86,201
88,212
90,481
92,134
94,128
96,192
98,98
100,121
102,109
104,70
106,44
108,95
110,48
112,42
114,54
116,19
118,14
120,38
122,10
124,10
126,28
128,6
130,4
132,13
134,6
136,5
138,8
140,6
142,3
144,5
146,1
148,3
150,2
152,2
154,3
156,1
164,1
180,1
210,1
