gap,count
1,1
2,27412679
4,27409998
6,49392723
8,22160841
10,28764495
12,37588207
14,20943953
16,15888305
18,29189691
20,16296072
22,13954281
24,21487314
26,10347754
28,11287965
30,20706430
32,6641319
34,6996756
36,11593345
38,5517814
40,6576432
42,9919519
44,4106969
46,3580023
48,6250795
50,3607750
52,2742998
54,4627165
56,2431627
58,2096211
60,4404886
62,1409677
64,1434957
66,2681236
68,1114470
70,1597388
72,1655084
74,821015
76,740952
78,1424800
80,741798
82,530510
84,1110789
86,405566
88,422019
90,865284
92,295784
94,271435
96,484048
98,256434
100,268933
102,362835
104,168126
106,147930
108,260372
110,159634
112,125859
114,193931
116,84057
118,82505
120,177747
122,57117
124,58876
126,113149
128,41252
130,56413
132,72711
134,31326
136,28577
138,53746
140,34102
142,20263
144,35563
146,15289
148,16689
150,34981
152,11307
154,14163
156,19972
158,8328
160,10075
162,13264
164,6398
166,5488
168,12220
170,5948
172,3953
174,7275
176,3337
178,3045
180,6809
182,2639
184,2286
186,3683
188,1503
190,2299
192,2588
194,1165
196,1254
198,2123
200,1102
202,822
204,1427
206,649
208,677
210,1531
212,383
214,356
216,645
218,300
220,416
222,495
224,250
226,204
228,370
230,203
232,137
234,303
236,114
238,134
240,214
242,76
244,79
246,96
248,73
250,56
252,128
254,31
256,41
258,95
260,43
262,29
264,53
266,32
268,23
270,42
272,15
274,16
276,24
278,9
280,16
282,18
284,8
286,12
288,15
290,13
292,6
294,7
296,3
298,1
300,12
302,4
304,3
306,6
308,2
310,2
312,3
314,2
318,1
320,3
322,2
326,2
330,2
332,1
336,2
340,1
354,1
