gap,count
1,1
2,161795029
4,161805194
6,294161119
8,133295079
10,173405449
12,229471278
14,128752776
16,98508288
18,182437689
20,103559663
22,88429946
24,138097626
26,67313995
28,73499992
30,137279340
32,44662864
34,47101929
36,78977778
38,37992429
40,45518944
42,69829063
44,29191229
46,25658568
48,45162018
50,26410615
52,20240329
54,34368980
56,18294399
58,15794236
60,33807158
62,11018271
64,11161440
66,21199644
68,8925397
70,12874118
72,13577465
74,6756996
76,6166185
78,11940886
80,6314771
82,4552013
84,9625763
86,3570610
88,3724933
90,7766687
92,2687770
94,2484612
96,4456676
98,2393002
100,2520680
102,3464652
104,1624575
106,1429497
108,2551699
110,1595744
112,1258801
114,1963447
116,858918
118,844495
120,1857799
122,610917
124,622827
126,1225655
128,449134
130,619642
132,816127
134,349330
136,327369
138,612573
140,394792
142,237881
144,420504
146,184642
148,199497
150,425860
152,140961
154,175074
156,251462
158,107074
160,128337
162,170667
164,84189
166,74070
168,160532
170,79904
172,53181
174,100592
176,47088
178,43317
180,95997
182,38665
184,32074
186,54339
188,23204
190,33072
192,39005
194,18098
196,19688
198,32794
200,17259
202,12821
204,23802
206,9982
208,11083
210,25604
212,6644
214,6540
216,11596
218,5338
220,7409
222,8913
224,4877
226,3550
228,7081
230,3872
232,2873
234,5138
236,2115
238,2560
240,4656
242,1695
244,1530
246,2739
248,1234
250,1509
252,2371
254,964
256,817
258,1644
260,988
262,640
264,1190
266,652
268,499
270,1066
272,321
274,384
276,644
278,257
280,444
282,450
284,198
286,234
288,302
290,193
292,149
294,309
296,101
298,103
300,237
302,80
304,109
306,141
308,87
310,81
312,85
314,54
316,42
318,76
320,38
322,42
324,46
326,23
328,25
330,60
332,18
334,12
336,32
338,17
340,18
342,30
344,11
346,9
348,20
350,12
352,10
354,12
356,6
358,3
360,15
362,2
364,3
366,10
368,2
370,1
372,5
374,6
376,2
378,2
380,5
382,2
384,4
386,3
390,2
394,1
396,2
398,2
400,1
402,2
406,1
414,2
444,1
450,1
456,1
464,1
