gap,count
1,1
2,135780321665
4,135779962759
6,252672394234
8,117333792953
10,153590992984
12,209796541197
14,119731244640
16,93649741408
18,176913444597
20,104682551230
22,88792328084
24,143759801949
26,72161896629
28,78973715102
30,154292579858
32,52074517134
34,55082083947
36,95086492066
38,46933220241
40,56938020205
42,91050561862
44,39077574251
46,34997285167
48,62906425823
50,38030383640
52,29716977932
54,51359117940
56,28221308574
58,24386079471
60,54805745434
62,18690964854
64,18701766366
66,37014664588
68,16135249760
70,23507912545
72,25949330321
74,13008734704
76,12247017000
78,24123304443
80,13253863120
82,9725091844
84,21100901308
86,8134791700
88,8568597851
90,18523086038
92,6630512514
94,6210500725
96,11400260198
98,6304483917
100,6735631681
102,9648683939
104,4620246678
106,4136050413
108,7567739119
110,4945951275
112,3930849492
114,6327059207
116,2855295324
118,2805794317
120,6464388829
122,2208209529
124,2255879956
126,4639007124
128,1757879271
130,2458087537
132,3364669324
134,1465691645
136,1411259551
138,2682016433
140,1807332542
142,1102447130
144,2007074206
146,916841264
148,971378888
150,2185833175
152,760333532
154,948381356
156,1402986038
158,612390006
160,753907260
162,1037246885
164,514590892
166,466593859
168,1039119529
170,541703283
172,370374952
174,706303653
176,345495086
178,315499327
180,733036848
182,310846126
184,255977584
186,451321890
188,199420307
190,281357378
192,348872343
194,165592828
196,185289188
198,320825250
200,172632625
202,128439623
204,247828575
206,106829767
208,115781968
210,289468190
212,79481261
214,78356473
216,144142329
218,67589072
220,95232581
222,119335959
224,67009818
226,50860048
228,101325073
230,59464618
232,43458287
234,82688301
236,35323822
238,43157538
240,80175074
242,30104115
244,26795856
246,50370863
248,23603608
250,29038036
252,46369350
254,18317847
256,16786811
258,32952735
260,21211574
262,13985315
264,28405536
266,14530775
268,11649711
270,26850611
272,9124315
274,9308701
276,17180916
278,7409929
280,11795951
282,13086097
284,6218429
286,6890211
288,10719889
290,6713560
292,4764446
294,10161551
296,3947010
298,3773867
300,8999245
302,3038251
304,3101034
306,5864255
308,3281066
310,3350393
312,4633775
314,1976158
316,1947502
318,3642402
320,2096828
322,1956696
324,2825713
326,1332710
328,1325542
330,3364014
332,1018162
334,989018
336,2131208
338,885690
340,1102144
342,1471314
344,686652
346,612655
348,1231270
350,835954
352,563940
354,942040
356,419994
358,431159
360,997206
362,332518
364,417079
366,603110
368,292233
370,356297
372,490981
374,267229
376,215201
378,465592
380,240144
382,166107
384,307197
386,141978
388,143350
390,360546
392,128279
394,109295
396,217610
398,87667
400,118162
402,158179
404,73169
406,84271
408,137101
410,79131
412,57702
414,107803
416,51129
418,54786
420,126488
422,35004
424,34700
426,64305
428,29216
430,38777
432,51164
434,30043
436,22616
438,42856
440,27883
442,21806
444,34368
446,15090
448,18125
450,35886
452,12259
454,12000
456,23081
458,10049
460,13397
462,22573
464,8080
466,7038
468,14930
470,8515
472,5755
474,11151
476,6412
478,4997
480,11555
482,3885
484,4344
486,7124
488,3296
490,5006
492,5724
494,3164
496,2484
498,4778
500,2779
502,2012
504,4560
506,1879
508,1650
510,4066
512,1236
514,1251
516,2312
518,1288
520,1500
522,1899
524,886
526,837
528,1682
530,959
532,810
534,1139
536,568
538,570
540,1296
542,439
544,451
546,1015
548,361
550,471
552,625
554,255
556,237
558,505
560,373
562,214
564,409
566,182
568,188
570,441
572,175
574,193
576,250
578,134
580,153
582,202
584,83
586,83
588,176
590,77
592,76
594,167
596,47
598,61
600,131
602,58
604,59
606,85
608,41
610,57
612,69
614,29
616,42
618,66
620,31
622,17
624,48
626,29
628,17
630,63
632,15
634,14
636,29
638,13
640,19
642,23
644,14
646,6
648,22
650,16
652,7
654,14
656,6
658,11
660,13
662,4
664,7
666,12
668,3
670,8
672,11
674,9
676,2
678,6
680,1
682,4
684,5
686,3
690,4
692,2
694,1
696,5
698,2
700,2
702,4
704,1
706,3
714,1
716,2
718,1
724,1
728,1
730,1
740,1
744,1
756,2
758,1
760,1
766,1
778,1
788,1
804,1
