gap,count
1,1
2,14831197
4,14830593
6,26627773
8,11902667
10,15433156
12,20065114
14,11149125
16,8427836
18,15441383
20,8560860
22,7338902
24,11236333
26,5386350
28,5874158
30,10695151
32,3411262
34,3592916
36,5923074
38,2807882
40,3339529
42,5007071
44,2064886
46,1792725
48,3121033
50,1791460
52,1358805
54,2285153
56,1192853
58,1029286
60,2147126
62,682498
64,695687
66,1291191
68,532729
70,763532
72,784642
74,388978
76,348488
78,669420
80,347095
82,246572
84,516010
86,187140
88,194001
90,396027
92,134661
94,123389
96,218893
98,115599
100,120917
102,162177
104,74756
106,65938
108,114990
110,70181
112,55238
114,84909
116,36389
118,35809
120,76883
122,24679
124,25032
126,48244
128,17433
130,23904
132,30442
134,13161
136,11794
138,22403
140,14034
142,8454
144,14602
146,6210
148,6929
150,14273
152,4539
154,5669
156,7987
158,3333
160,3910
162,5119
164,2501
166,2211
168,4869
170,2325
172,1550
174,2806
176,1306
178,1143
180,2567
182,1027
184,854
186,1380
188,543
190,848
192,980
194,443
196,467
198,799
200,403
202,298
204,509
206,232
208,231
210,554
212,157
214,127
216,227
218,101
220,144
222,151
224,87
226,69
228,116
230,72
232,42
234,108
236,45
238,49
240,69
242,28
244,24
246,36
248,23
250,21
252,40
254,10
256,14
258,25
260,12
262,11
264,14
266,11
268,6
270,14
272,3
274,3
276,10
278,1
280,6
282,8
284,4
286,4
288,7
290,5
292,3
300,1
304,1
306,1
310,1
318,1
320,1
336,2
354,1
