gap,count
1,1
2,8039049
4,8039664
6,14379154
8,6401466
10,8292736
12,10723724
14,5943352
16,4475911
18,8169069
20,4496769
22,3860440
24,5873610
26,2803195
28,3053395
30,5518962
32,1749058
34,1840902
36,3019873
38,1425264
40,1692262
42,2517443
44,1034099
46,894365
48,1550615
50,885404
52,668224
54,1121613
56,582706
58,503060
60,1039285
62,327141
64,335003
66,617973
68,253421
70,361676
72,368808
74,183052
76,163414
78,312084
80,160720
82,113850
84,237331
86,85288
88,88348
90,179739
92,60451
94,55185
96,97881
98,51569
100,53806
102,71766
104,32963
106,29025
108,50070
110,30172
112,23856
114,36427
116,15590
118,15130
120,32665
122,10368
124,10503
126,20112
128,7232
130,9914
132,12645
134,5413
136,4833
138,9089
140,5629
142,3445
144,5821
146,2525
148,2766
150,5638
152,1826
154,2204
156,3089
158,1268
160,1485
162,2009
164,956
166,834
168,1837
170,859
172,587
174,1055
176,503
178,443
180,954
182,362
184,322
186,486
188,190
190,298
192,332
194,154
196,165
198,306
200,142
202,96
204,183
206,70
208,86
210,203
212,57
214,59
216,81
218,36
220,45
222,46
224,23
226,25
228,34
230,30
232,8
234,35
236,13
238,15
240,24
242,9
244,8
246,9
248,7
250,12
252,11
254,4
256,3
258,5
260,4
262,4
264,1
266,3
268,1
270,3
272,1
274,1
276,1
280,3
282,3
284,3
288,2
290,3
292,1
304,1
320,1
