gap,count
1,1
2,5173760785
4,5173858132
6,9535982488
8,4383652635
10,5723723258
12,7717087966
14,4373459549
16,3390275177
18,6352985543
20,3695945953
22,3143272912
24,5014357947
26,2487149536
28,2719476311
30,5216326524
32,1734494246
34,1832359869
36,3125702008
38,1526628853
40,1842686432
42,2897095139
44,1230236019
46,1093298642
48,1948346731
50,1161950174
52,901055848
54,1545760155
56,838356705
58,724151821
60,1595883454
62,534206442
64,537169139
66,1045519826
68,449417445
70,652034879
72,706713686
74,353095757
76,328155167
78,642056877
80,347295485
82,253020835
84,543270894
86,206236289
88,216309511
90,460807312
92,162724967
94,151595207
96,275585663
98,150575318
100,159936376
102,225350234
104,106964739
106,95114591
108,172271156
110,110559238
112,87576130
114,139220250
116,62082875
118,60983987
120,137846552
122,46345846
124,47350042
126,95684981
128,35740245
130,49719634
132,66983278
134,28966012
136,27552487
138,52098360
140,34475659
142,20917837
144,37610800
146,16920334
148,18053673
150,39762908
152,13573267
154,16904741
156,24644002
158,10652536
160,12992871
162,17652149
164,8703691
166,7810964
168,17212179
170,8803927
172,5967712
174,11300838
176,5453277
178,4984825
180,11358894
182,4713382
184,3899760
186,6761572
188,2937250
190,4158075
192,5060052
194,2376542
196,2640324
198,4524270
200,2392984
202,1776146
204,3380724
206,1437389
208,1560327
210,3807934
212,1023612
214,1007731
216,1833910
218,850833
220,1190506
222,1469425
224,822795
226,613549
228,1213077
230,698941
232,510165
234,956942
236,402635
238,491273
240,897033
242,332161
244,294963
246,546499
248,253354
250,309106
252,486590
254,190933
256,172510
258,336448
260,213128
262,139608
264,280781
266,140680
268,113217
270,255391
272,84953
274,87518
276,158988
278,67053
280,107804
282,117313
284,54949
286,60273
288,92970
290,57467
292,40473
294,85219
296,32478
298,31006
300,72660
302,24255
304,24870
306,46106
308,25792
310,25475
312,34925
314,15112
316,14722
318,27035
320,15356
322,14158
324,20130
326,9343
328,9619
330,23190
332,6881
334,6705
336,14093
338,5824
340,7065
342,9639
344,4415
346,3846
348,7779
350,5210
352,3447
354,5672
356,2452
358,2535
360,5789
362,1924
364,2446
366,3415
368,1543
370,1928
372,2699
374,1428
376,1126
378,2462
380,1220
382,857
384,1563
386,779
388,762
390,1727
392,659
394,561
396,1083
398,436
400,518
402,696
404,332
406,388
408,620
410,339
412,244
414,469
416,195
418,209
420,568
422,157
424,142
426,253
428,112
430,150
432,226
434,114
436,79
438,187
440,110
442,89
444,140
446,55
448,75
450,119
452,45
454,45
456,100
458,32
460,41
462,77
464,24
466,25
468,56
470,30
472,18
474,40
476,20
478,13
480,37
482,6
484,8
486,24
488,10
490,12
492,9
494,6
496,9
498,15
500,7
502,9
504,10
506,6
508,2
510,5
512,2
514,1
516,7
518,1
520,1
522,5
524,3
526,3
528,5
530,2
532,4
534,2
538,4
540,1
542,1
544,2
546,2
550,2
552,1
562,1
564,3
582,1
588,1
602,1
652,1
