gap,count
1,1
2,1298961
4,1299179
6,2291859
8,1005864
10,1298573
12,1648678
14,904864
16,671997
18,1211037
20,649220
22,561008
24,835006
26,391189
28,425553
30,747910
32,232553
34,244107
36,393611
38,182200
40,214378
42,311268
44,126229
46,107551
48,184063
50,103556
52,77229
54,128128
56,65186
58,56183
60,112514
62,34388
64,35609
66,63919
68,25785
70,36616
72,36372
74,17953
76,15464
78,29687
80,14701
82,10449
84,21406
86,7480
88,7691
90,15483
92,5079
94,4653
96,8143
98,4165
100,4371
102,5589
104,2689
106,2110
108,3776
110,2200
112,1686
114,2594
116,1108
118,1036
120,2309
122,718
124,723
126,1307
128,441
130,566
132,769
134,331
136,279
138,546
140,330
142,207
144,333
146,139
148,153
150,299
152,120
154,97
156,161
158,58
160,67
162,82
164,53
166,36
168,94
170,39
172,27
174,43
176,27
178,19
180,31
182,17
184,19
186,15
188,5
190,8
192,15
194,5
196,7
198,17
202,3
204,7
206,3
208,3
210,8
212,2
214,1
216,1
218,1
220,1
222,4
234,2
236,1
248,1
