gap,count
1,1
2,1870585220
4,1870585458
6,3435528229
8,1573331564
10,2052293026
12,2753597777
14,1556469349
16,1202533145
18,2246576317
20,1298682892
22,1105634145
24,1754011594
26,866077378
28,946685407
30,1803413614
32,596278790
34,629634308
36,1069300358
38,520188423
40,626694626
42,979052296
44,414087760
46,366906343
48,651790197
50,386726111
52,299020127
54,511589763
56,276101593
58,238482555
60,521616486
62,173395125
64,174696822
66,337881160
68,144475047
70,209257685
72,225244356
74,112410088
76,103953673
78,202872036
80,109107891
82,79287666
84,169541709
86,63992940
88,67022921
90,141957467
92,49878328
94,46375798
96,83989444
98,45681754
100,48416676
102,67792106
104,32081000
106,28453407
108,51319244
110,32725321
112,25883114
114,40958667
116,18184644
118,17861383
120,40071610
122,13393628
124,13680330
126,27474648
128,10204790
130,14164551
132,18974903
134,8186821
136,7752383
138,14627306
140,9609468
142,5819992
144,10414054
146,4655756
148,4989222
150,10892019
152,3691198
154,4592590
156,6661733
158,2868282
160,3483582
162,4712971
164,2319103
166,2072360
168,4551271
170,2311246
172,1559904
174,2947195
176,1417649
178,1292735
180,2928555
182,1205323
184,1000198
186,1721286
188,743368
190,1053797
192,1271124
194,594685
196,659941
198,1123214
200,591880
202,439209
204,831220
206,351640
208,381620
210,924563
212,246296
214,241458
216,439445
218,203041
220,282687
222,347448
224,194229
226,144752
228,284020
230,162928
232,118149
234,220823
236,91898
238,113291
240,204337
242,75278
244,66965
246,123382
248,56723
250,68867
252,108193
254,42303
256,38022
258,74024
260,46776
262,30636
264,60964
266,30939
268,24464
270,54811
272,18084
274,18726
276,33579
278,14099
280,22975
282,24380
284,11434
286,12659
288,18950
290,11632
292,8333
294,17176
296,6781
298,6239
300,14720
302,4878
304,4961
306,9232
308,5155
310,5046
312,6757
314,2891
316,2855
318,5330
320,3043
322,2792
324,3870
326,1820
328,1795
330,4410
332,1272
334,1243
336,2587
338,1104
340,1337
342,1819
344,796
346,725
348,1397
350,948
352,677
354,1026
356,461
358,415
360,1105
362,336
364,420
366,602
368,241
370,355
372,454
374,260
376,200
378,405
380,200
382,142
384,296
386,146
388,140
390,287
392,99
394,112
396,187
398,74
400,82
402,115
404,53
406,55
408,121
410,47
412,37
414,80
416,31
418,30
420,87
422,21
424,28
426,30
428,16
430,28
432,32
434,21
436,12
438,29
440,14
442,10
444,20
446,10
448,12
450,19
452,9
454,8
456,14
458,4
460,7
462,12
464,3
466,2
468,5
470,4
472,3
474,10
476,2
478,2
480,4
484,2
486,2
490,1
492,1
494,2
496,1
498,2
500,3
504,2
514,1
516,2
532,1
534,1
540,1
