gap,count
1,1
2,15834664872
4,15834656002
6,29289695650
8,13515180171
10,17663498098
12,23931289984
14,13597962107
16,10576414202
18,19878698732
20,11638466683
22,9888091790
24,15861755259
26,7902711871
28,8643973155
30,16694681959
32,5582122930
34,5900013825
36,10109375268
38,4957098874
40,5994718578
42,9484975460
44,4043811134
46,3604148124
48,6443528078
50,3862450797
52,3003793520
54,5167085638
56,2816219685
58,2433024862
60,5401237011
62,1820731588
64,1827362938
66,3579108813
68,1546597364
70,2247338579
72,2452546905
74,1226908425
76,1145793024
78,2247392410
80,1222788009
82,893260674
84,1925411535
86,735150149
88,772368605
90,1654272409
92,587201625
94,548095541
96,1000057637
98,548858040
100,584268567
102,828397685
104,394492758
106,351669276
108,639388319
110,413181898
112,327700129
114,523318493
116,234398970
118,230302500
120,524351328
122,177333152
124,181174317
126,368513409
128,138379585
130,192891055
132,261418550
134,113357312
136,108328192
138,205176276
140,136684236
142,83101585
144,150160276
146,67926519
148,72284291
150,160536036
152,55183966
154,68766000
156,100793223
158,43733848
160,53520200
162,73049507
164,36119026
166,32520530
168,71964302
170,37065390
172,25212078
174,47864622
176,23221579
178,21211627
180,48692080
182,20381260
184,16829486
186,29357105
188,12832980
190,18141708
192,22231553
194,10484617
196,11680741
198,20086507
200,10694134
202,7943753
204,15210222
206,6496216
208,7044631
210,17354386
212,4700828
214,4635033
216,8463973
218,3939160
220,5535299
222,6866198
224,3844816
226,2888868
228,5731984
230,3326329
232,2424688
234,4579706
236,1938920
238,2364904
240,4342176
242,1616463
244,1435076
246,2678323
248,1245699
250,1527319
252,2412770
254,946839
256,861641
258,1685172
260,1073966
262,705890
264,1422962
266,720042
268,577334
270,1315892
272,440944
274,453445
276,826092
278,352338
280,562010
282,616640
284,290572
286,321516
288,495479
290,308125
292,217409
294,460605
296,176788
298,168438
300,397747
302,133657
304,135760
306,254326
308,141114
310,143495
312,196640
314,83540
316,81852
318,152774
320,86576
322,80649
324,115714
326,53924
328,54217
330,134482
332,39948
334,39195
336,83414
338,34344
340,42618
342,56678
344,26302
346,23341
348,46304
350,31343
352,20920
354,34463
356,15308
358,15571
360,35915
362,12004
364,14875
366,21208
368,10354
370,12422
372,17124
374,9131
376,7502
378,15960
380,7942
382,5525
384,10356
386,4707
388,4766
390,11576
392,4166
394,3524
396,6865
398,2812
400,3733
402,5013
404,2287
406,2702
408,4134
410,2440
412,1774
414,3290
416,1457
418,1626
420,3724
422,1059
424,994
426,1836
428,890
430,1061
432,1494
434,880
436,623
438,1192
440,752
442,635
444,983
446,392
448,514
450,990
452,277
454,321
456,623
458,245
460,343
462,566
464,208
466,186
468,383
470,221
472,136
474,296
476,170
478,124
480,260
482,78
484,89
486,159
488,82
490,121
492,126
494,62
496,59
498,134
500,67
502,38
504,103
506,48
508,36
510,80
512,24
514,24
516,55
518,29
520,30
522,32
524,20
526,17
528,28
530,24
532,12
534,20
536,10
538,10
540,29
542,9
544,11
546,17
548,10
550,7
552,11
554,4
556,3
558,7
560,6
562,4
564,10
566,3
568,2
570,5
572,4
574,3
576,4
578,2
580,1
582,2
584,2
586,4
588,3
592,1
594,4
598,2
600,1
602,1
604,2
610,2
616,1
618,1
620,1
636,1
648,1
650,2
652,1
674,1
