gap,count
1,1
2,711058
4,711186
6,1248470
8,544667
10,702192
12,885126
14,484046
16,357237
18,641329
20,340163
22,294763
24,434720
26,202652
28,219763
30,382206
32,117927
34,123590
36,197846
38,90608
40,106721
42,153033
44,61928
46,52490
48,89615
50,49768
52,37043
54,61264
56,30706
58,26711
60,52696
62,15926
64,16528
66,29423
68,11748
70,16642
72,16371
74,8141
76,6891
78,13046
80,6443
82,4546
84,9310
86,3219
88,3286
90,6722
92,2155
94,1941
96,3352
98,1720
100,1821
102,2224
104,1096
106,869
108,1540
110,890
112,665
114,1063
116,412
118,402
120,891
122,268
124,297
126,503
128,176
130,197
132,277
134,119
136,94
138,196
140,128
142,85
144,113
146,43
148,65
150,87
152,49
154,42
156,53
158,18
160,25
162,25
164,19
166,8
168,24
170,18
172,4
174,10
176,10
178,12
180,10
182,4
184,4
186,2
188,1
190,1
192,3
194,1
196,1
198,6
202,2
204,3
210,4
220,1
222,1
