gap,count
1,1
2,66278
4,65943
6,112453
8,47917
10,61458
12,74170
14,40042
16,28494
18,49871
20,25273
22,22175
24,31035
26,14002
28,15155
30,25002
32,7318
34,7731
36,11833
38,5194
40,6208
42,8328
44,3213
46,2701
48,4426
50,2379
52,1696
54,2823
56,1287
58,1228
60,2199
62,650
64,650
66,1146
68,418
70,626
72,543
74,262
76,229
78,422
80,193
82,120
84,304
86,79
88,82
90,178
92,43
94,49
96,75
98,31
100,45
102,43
104,23
106,16
108,34
110,16
112,13
114,17
116,9
118,6
120,12
122,4
124,5
126,10
128,3
130,2
132,6
134,1
136,2
138,3
140,3
142,1
146,1
148,2
152,1
154,2
