gap,count
1,1
2,215316
4,214827
6,372374
8,160899
10,206833
12,255757
14,138404
16,101360
18,179538
20,93350
22,81145
24,117237
26,53823
28,58059
30,98715
32,29853
34,31171
36,49152
38,22175
40,25948
42,36423
44,14471
46,12221
48,20671
50,11187
52,8263
54,13387
56,6649
58,5786
60,11128
62,3307
64,3423
66,5943
68,2289
70,3299
72,2994
74,1571
76,1316
78,2480
80,1155
82,835
84,1625
86,526
88,562
90,1153
92,363
94,341
96,494
98,247
100,310
102,312
104,170
106,118
108,234
110,146
112,103
114,150
116,56
118,55
120,134
122,44
124,31
126,67
128,17
130,19
132,36
134,15
136,13
138,27
140,18
142,9
144,14
146,3
148,9
150,11
152,5
154,3
156,4
160,1
162,2
164,1
168,2
170,1
172,1
176,1
178,1
180,1
182,1
210,1
