gap,count
1,1
2,615885700
4,615875308
6,1126274143
8,513458736
10,669040932
12,892392718
14,502846853
16,386915850
18,720147827
20,413126418
22,352148250
24,554934775
26,272518926
28,297739571
30,562511017
32,184742989
34,194963387
36,329296856
38,159430256
40,191630836
42,297067423
44,125035952
46,110404476
48,195362992
50,115211739
52,88751976
54,151360574
56,81206969
58,70137487
60,152017069
62,50098810
64,50599497
66,97109216
68,41261841
70,59651234
72,63662409
74,31730096
76,29181334
78,56755389
80,30304153
82,21947143
84,46710984
86,17510242
88,18302647
90,38504744
92,13447798
94,12470113
96,22499095
98,12161847
100,12862316
102,17867611
104,8424918
106,7447723
108,13369863
110,8456181
112,6677854
114,10508071
116,4634155
118,4557217
120,10136027
122,3362597
124,3432479
126,6835881
128,2524756
130,3495447
132,4650786
134,1999402
136,1883000
138,3544719
140,2311037
142,1397458
144,2482598
146,1102688
148,1184016
150,2562335
152,860195
154,1069473
156,1542985
158,660884
160,798950
162,1075730
164,528234
166,469299
168,1026185
170,517422
172,346601
174,654287
176,312151
178,285350
180,640777
182,261559
184,216709
186,371353
188,158747
190,226015
192,269258
194,125857
196,138703
198,234930
200,123154
202,91613
204,171495
206,72300
208,78310
210,188503
212,49583
214,48858
216,87755
218,40250
220,56128
222,68829
224,38094
226,27998
228,55288
230,31513
232,22616
234,41925
236,17352
238,21248
240,38484
242,14101
244,12447
246,22917
248,10338
250,12763
252,19714
254,7861
256,6962
258,13566
260,8360
262,5503
264,10850
266,5423
268,4308
270,9472
272,3100
274,3244
276,5739
278,2405
280,3932
282,4161
284,1993
286,2120
288,3148
290,1951
292,1371
294,2837
296,1098
298,976
300,2357
302,817
304,805
306,1412
308,818
310,838
312,1062
314,440
316,451
318,809
320,453
322,442
324,582
326,298
328,263
330,656
332,193
334,209
336,377
338,193
340,197
342,270
344,116
346,113
348,224
350,113
352,85
354,130
356,71
358,55
360,167
362,36
364,51
366,73
368,40
370,43
372,54
374,35
376,25
378,53
380,35
382,21
384,34
386,20
388,21
390,35
392,14
394,19
396,25
398,13
400,7
402,20
404,5
406,8
408,12
410,7
412,3
414,12
416,4
418,3
420,9
422,2
424,1
426,2
428,1
430,1
432,4
434,3
438,3
440,3
444,5
446,1
450,2
454,1
456,1
460,3
464,1
468,1
474,1
486,1
490,1
