gap,count
1,1
2,2378674
4,2379598
6,4219540
8,1860903
10,2405724
12,3073986
14,1692092
16,1263623
18,2287735
20,1239113
22,1066773
24,1601243
26,754786
28,821230
30,1460698
32,456812
34,480704
36,778889
38,363626
40,428764
42,628060
44,255901
46,219254
48,376898
50,213153
52,159709
54,265780
56,136414
58,117261
60,238156
62,73442
64,75867
66,137938
68,56027
70,79301
72,79159
74,39333
76,34220
78,65950
80,33264
82,23623
84,47990
86,16983
88,17754
90,35461
92,11739
94,10727
96,18803
98,9822
100,10192
102,13469
104,6224
106,5229
108,9269
110,5375
112,4250
114,6451
116,2754
118,2555
120,5631
122,1780
124,1840
126,3428
128,1149
130,1567
132,2007
134,839
136,711
138,1477
140,883
142,561
144,878
146,374
148,400
150,828
152,287
154,310
156,431
158,169
160,205
162,265
164,137
166,98
168,234
170,109
172,82
174,136
176,71
178,59
180,98
182,43
184,50
186,57
188,10
190,32
192,34
194,12
196,22
198,36
200,9
202,15
204,23
206,8
208,9
210,25
212,7
214,6
216,6
218,5
220,6
222,6
224,3
226,4
230,1
232,1
234,5
236,2
240,2
242,3
246,1
248,3
250,3
252,1
276,1
282,1
