gap,count
1,1
2,224376048
4,224373160
6,408550278
8,185402143
10,241298621
12,319972455
14,179718000
16,137715130
18,255371697
20,145357801
22,124059643
24,194202685
26,94842255
28,103578486
30,194021497
32,63276295
34,66745265
36,112117864
38,54024702
40,64778166
42,99655858
44,41731672
46,36721672
48,64725830
50,37931633
52,29110017
54,49484726
56,26393893
58,22788376
60,48938947
62,15996645
64,16191513
66,30832085
68,13014024
70,18781144
72,19871913
74,9894134
76,9045284
78,17533020
80,9297902
82,6710732
84,14213581
86,5286056
88,5515262
90,11529753
92,3999903
94,3702704
96,6646911
98,3575334
100,3768377
102,5195880
104,2438342
106,2150689
108,3842700
110,2408320
112,1901120
114,2973328
116,1304852
118,1281209
120,2827970
122,932119
124,950525
126,1876467
128,688521
130,951137
132,1255967
134,539060
136,504434
138,946138
140,610589
142,369332
144,652975
146,287891
148,310055
150,663799
152,220450
154,274631
156,394607
158,168199
160,202074
162,269332
164,132725
166,117344
168,254517
170,126810
172,84647
174,160174
176,75607
178,68952
180,154009
182,62244
184,51620
186,87656
188,37289
190,53394
192,62838
194,29281
196,32118
198,53702
200,28100
202,20935
204,39009
206,16293
208,18087
210,41968
212,10936
214,10726
216,19193
218,8794
220,12305
222,14889
224,8229
226,5937
228,11803
230,6638
232,4830
234,8660
236,3596
238,4317
240,7773
242,2856
244,2522
246,4724
248,2099
250,2583
252,4021
254,1608
256,1397
258,2798
260,1694
262,1051
264,2085
266,1067
268,869
270,1873
272,579
274,655
276,1071
278,473
280,755
282,784
284,357
286,382
288,552
290,357
292,238
294,529
296,196
298,172
300,420
302,134
304,174
306,252
308,152
310,151
312,175
314,88
316,74
318,126
320,75
322,81
324,88
326,41
328,49
330,106
332,33
334,28
336,60
338,27
340,36
342,44
344,20
346,20
348,41
350,20
352,17
354,22
356,11
358,5
360,29
362,7
364,8
366,15
368,5
370,2
372,7
374,7
376,3
378,6
380,10
382,2
384,8
386,4
390,8
394,1
396,5
398,2
400,1
402,3
406,2
410,1
414,2
420,2
432,1
444,1
450,1
456,1
464,1
