gap,count
1,1
2,390599
4,390477
6,681139
8,296034
10,380462
12,475866
14,258672
16,190391
18,338693
20,178209
22,154519
24,226215
26,104628
28,113336
30,194541
32,59409
34,62117
36,99108
38,44974
40,52707
42,75136
44,30088
46,25439
48,43027
50,23750
52,17690
54,28860
56,14211
58,12576
60,24307
62,7287
64,7533
66,13218
68,5273
70,7511
72,7185
74,3657
76,3004
78,5749
80,2772
82,1990
84,3960
86,1350
88,1402
90,2813
92,900
94,812
96,1359
98,703
100,738
102,881
104,407
106,343
108,604
110,384
112,265
114,396
116,154
118,152
120,359
122,108
124,119
126,166
128,58
130,62
132,106
134,37
136,35
138,74
140,44
142,27
144,38
146,19
148,30
150,30
152,18
154,9
156,20
158,7
160,8
162,6
164,4
166,1
168,7
170,4
172,1
174,3
176,4
178,4
180,1
182,1
184,1
196,1
198,1
210,1
220,1
