gap,count
1,1
2,74555618
4,74548841
6,135037729
8,60945911
10,79207216
12,104279048
14,58338759
16,44481972
18,82115402
20,46285083
22,39566389
24,61439747
26,29795758
28,32522926
30,60304577
32,19502221
34,20560640
36,34305016
38,16429668
40,19645456
42,29925726
44,12461239
46,10913798
48,19151963
50,11138701
52,8510646
54,14407255
56,7628775
58,6582478
60,13985551
62,4521363
64,4590009
66,8661712
68,3625836
70,5219033
72,5463550
74,2713847
76,2465849
78,4759427
80,2502774
82,1798540
84,3787647
86,1397235
88,1453726
90,3011666
92,1035900
94,956725
96,1710714
98,913695
100,961120
102,1310770
104,611601
106,537991
108,954383
110,592358
112,466828
114,724085
116,315540
118,310840
120,677108
122,221011
124,226183
126,440716
128,161210
130,220603
132,289259
134,124033
136,115463
138,215779
140,137654
142,82443
144,145778
146,63439
148,68574
150,145234
152,47831
154,59254
156,84805
158,35976
160,43074
162,56840
164,28222
166,24476
168,53071
170,26158
172,17424
174,32673
176,15139
178,13786
180,30891
182,12272
184,10192
186,17205
188,7340
190,10446
192,12271
194,5707
196,6035
198,10261
200,5344
202,3961
204,7104
206,3037
208,3323
210,7670
212,1948
214,1921
216,3433
218,1570
220,2163
222,2603
224,1394
226,1048
228,1991
230,1098
232,796
234,1497
236,567
238,730
240,1281
242,442
244,438
246,740
248,346
250,379
252,672
254,249
256,240
258,472
260,263
262,151
264,290
266,182
268,131
270,292
272,97
274,105
276,167
278,74
280,123
282,137
284,59
286,73
288,74
290,55
292,37
294,57
296,26
298,28
300,47
302,20
304,25
306,32
308,19
310,13
312,22
314,11
316,7
318,20
320,8
322,7
324,9
326,3
328,9
330,16
332,6
336,6
338,1
340,9
342,11
344,3
346,4
348,4
350,5
354,5
356,1
358,1
360,1
364,2
366,1
372,1
374,1
376,1
380,1
382,1
384,2
394,1
456,1
