gap,count
1,1
2,44078684643
4,44078537039
6,81777499006
8,37854152833
10,49512351371
12,67354476636
14,38355070458
16,29915568324
18,56370001309
20,33178079022
22,28164933423
24,45389223198
26,22698537203
28,24834577365
30,48240463912
32,16205027943
34,17134762374
36,29468625218
38,14497415616
40,17559806929
42,27931310397
44,11947617965
46,10674310120
48,19134911580
50,11518769979
52,8979350048
54,15482335230
56,8472845722
58,7320668581
60,16351510400
62,5544119914
64,5555853649
66,10938791458
68,4747444798
70,6907573140
72,7581399324
74,3796657514
76,3559921607
78,6997323111
80,3825748422
82,2800985521
84,6057227315
86,2323987167
88,2444703164
90,5260172067
92,1875042479
94,1753206778
96,3208518616
98,1767627355
100,1885094995
102,2686534167
104,1282819147
106,1145972574
108,2090194657
110,1358394695
112,1078454118
114,1729049702
116,777318033
118,763807743
120,1749323350
122,594606886
124,607425001
126,1242271148
128,468632246
130,654185983
132,891097055
134,387290627
136,371468431
138,704837497
140,472246356
142,287547623
144,521611215
146,237127556
148,251756327
150,562757153
152,194609412
154,242607286
156,357273749
158,155476617
160,190827947
162,261529329
164,129515123
166,117025242
168,259790500
170,134623119
172,91807462
174,174675078
176,85090939
178,77710982
180,179483523
182,75613850
184,62340076
186,109348984
188,48058338
190,67877093
192,83661706
194,39583633
196,44195291
198,76258496
200,40818060
202,30347194
204,58313041
206,25025714
208,27129552
210,67332659
212,18353876
214,18100767
216,33175078
218,15501114
220,21804574
222,27199303
224,15245196
226,11515581
228,22893749
230,13359136
232,9752557
234,18480026
236,7865624
238,9596932
240,17722762
242,6624573
244,5889035
246,11028692
248,5152428
250,6328240
252,10045035
254,3957767
256,3612386
258,7077477
260,4534627
262,2981884
264,6040253
266,3075147
268,2461282
270,5644211
272,1905701
274,1950698
276,3579070
278,1536856
280,2444508
282,2696745
284,1277988
286,1411153
288,2189172
290,1365284
292,967039
294,2053013
296,793989
298,758271
300,1798156
302,605449
304,616034
306,1160884
308,647026
310,658874
312,906827
314,385228
316,379478
318,708355
320,404632
322,376735
324,541969
326,254866
328,253960
330,639167
332,192129
334,186201
336,399848
338,165284
340,205640
342,273147
344,127882
346,113297
348,226581
350,153513
352,102830
354,171333
356,76007
358,78040
360,179753
362,59769
364,74655
366,107228
368,51789
370,63058
372,86849
374,47120
376,37800
378,81466
380,41694
382,28784
384,53292
386,24570
388,24679
390,61933
392,21587
394,18620
396,36916
398,14853
400,19934
402,26908
404,12345
406,14267
408,23135
410,13180
412,9558
414,17774
416,8384
418,8917
420,20483
422,5783
424,5608
426,10371
428,4645
430,6190
432,8103
434,4796
436,3647
438,6873
440,4423
442,3367
444,5504
446,2362
448,2833
450,5593
452,1845
454,1871
456,3557
458,1553
460,2028
462,3442
464,1221
466,1030
468,2302
470,1266
472,840
474,1652
476,943
478,728
480,1699
482,563
484,584
486,1033
488,489
490,769
492,836
494,447
496,377
498,736
500,365
502,270
504,664
506,254
508,237
510,570
512,154
514,168
516,327
518,202
520,190
522,251
524,129
526,106
528,218
530,140
532,109
534,144
536,71
538,81
540,171
542,51
544,66
546,130
548,56
550,69
552,81
554,31
556,24
558,57
560,57
562,26
564,52
566,23
568,20
570,45
572,22
574,20
576,28
578,13
580,19
582,22
584,9
586,6
588,23
590,9
592,9
594,24
596,9
598,7
600,13
602,3
604,8
606,7
608,2
610,8
612,9
614,3
616,7
618,6
620,5
622,2
624,3
630,6
634,2
636,3
638,2
640,1
642,4
648,1
650,3
652,1
660,2
662,1
666,1
668,1
672,3
674,3
690,1
696,2
700,1
702,1
716,2
730,1
766,1
