gap,count
1,1
2,380041003032
4,380039981957
6,709025173150
8,330136224202
10,432439790976
12,592728181235
14,338896400239
16,265702422334
18,503008177882
20,298973321399
22,253415149006
24,411900603020
26,207410059821
28,227039875516
30,445728308392
32,151029203893
34,159802867073
36,276729471200
38,136966317248
40,166388124359
42,267266372230
44,115030242385
46,103227385688
48,185969274183
50,112833981754
52,88341711301
54,152987432834
56,84352528010
58,72894410706
60,164673293589
62,56435721272
64,56395049140
66,112110922155
68,49050324451
70,71543459729
72,79354220027
74,39817029164
76,37612867846
78,74216811165
80,40944890966
82,30099061420
84,65489768794
86,25348819863
88,26729758346
90,58010998042
92,20839242191
94,19548195229
96,35972865219
98,19957136178
100,21354722428
102,30722036818
104,14746089206
106,13223688296
108,24260866563
110,15930822806
112,12671996730
114,20465233691
116,9264820767
118,9104511191
120,21080859158
122,7231387328
124,7387445154
126,15261936841
128,5805069072
130,8129127902
132,11173265588
134,4876166077
136,4710341881
138,8964230731
140,6069643806
142,3707970390
144,6771438782
146,3105813516
148,3284670996
150,7432309147
152,2598411497
154,3242215440
156,4814803602
158,2107155564
160,2600279765
162,3589717223
164,1783280535
166,1622034906
168,3621697298
170,1897328771
172,1299970637
174,2484149006
176,1219391735
178,1113408159
180,2599702685
182,1108642234
184,911953768
186,1614783788
188,716722478
190,1010394592
192,1259290844
194,599241144
196,671964840
198,1166520749
200,630335998
202,469312904
204,908806445
206,393177858
208,426024886
210,1071871919
212,296017614
214,291900071
216,538425255
218,253190545
220,357306205
222,449499129
224,252752583
226,192643938
228,384617022
230,226714151
232,165780648
234,316585412
236,135719293
238,165988328
240,309738535
242,116745347
244,104048643
246,196069690
248,92161548
250,113594015
252,182258860
254,72148369
256,66340674
258,130403930
260,84275412
262,55670176
264,113449209
266,58289520
268,46716244
270,108245567
272,37023299
274,37641552
276,69795819
278,30235977
280,48114602
282,53694419
284,25539200
286,28380033
288,44284475
290,27857954
292,19776831
294,42368752
296,16512056
298,15804227
300,37852979
302,12830665
304,13104647
306,24849421
308,13978040
310,14259837
312,19841682
314,8481277
316,8377890
318,15695614
320,9078407
322,8477184
324,12296213
326,5809811
328,5783811
330,14754728
332,4492172
334,4360436
336,9449059
338,3938348
340,4906037
342,6576773
344,3072411
346,2755198
348,5536887
350,3780469
352,2550758
354,4278452
356,1920208
358,1968214
360,4569894
362,1528968
364,1922494
366,2787347
368,1354196
370,1657703
372,2292300
374,1249564
376,1007102
378,2187993
380,1135896
382,783955
384,1455382
386,675612
388,681085
390,1725657
392,617936
394,523912
396,1046434
398,423871
400,572710
402,769594
404,357813
406,413447
408,671956
410,389048
412,282926
414,535047
416,253916
418,271607
420,633478
422,175546
424,174166
426,323985
428,150072
430,195293
432,261718
434,153674
436,115843
438,220641
440,141904
442,111543
444,176537
446,78732
448,94631
450,186190
452,63679
454,62986
456,120659
458,53120
460,70622
462,119060
464,43265
466,37912
468,80199
470,45502
472,31817
474,60649
476,34747
478,27230
480,63101
482,20822
484,23880
486,38736
488,18580
490,27559
492,31533
494,17296
496,14061
498,26415
500,15773
502,11199
504,25064
506,10483
508,9393
510,23299
512,7148
514,7155
516,13598
518,7532
520,8823
522,11044
524,4982
526,4787
528,9982
530,5462
532,4711
534,6988
536,3322
538,3280
540,7674
542,2654
544,2867
546,5920
548,2079
550,2907
552,3759
554,1716
556,1571
558,3111
560,2225
562,1251
564,2484
566,1070
568,1166
570,2828
572,1030
574,1036
576,1508
578,783
580,983
582,1262
584,584
586,565
588,1242
590,644
592,467
594,968
596,391
598,429
600,879
602,392
604,310
606,557
608,259
610,376
612,476
614,210
616,243
618,369
620,212
622,134
624,342
626,126
628,134
630,390
632,85
634,84
636,188
638,106
640,114
642,141
644,95
646,77
648,114
650,81
652,63
654,94
656,50
658,59
660,112
662,27
664,46
666,66
668,37
670,32
672,53
674,24
676,26
678,43
680,23
682,27
684,39
686,13
688,16
690,33
692,10
694,10
696,25
698,11
700,12
702,19
704,6
706,12
708,12
710,13
712,5
714,11
716,3
718,5
720,7
722,2
724,4
726,8
728,8
730,4
732,4
734,2
736,4
738,4
740,3
742,5
744,2
746,3
748,3
750,3
752,1
754,4
756,6
758,1
760,1
762,4
766,1
770,2
772,1
776,1
778,1
788,1
792,1
804,2
806,1
832,1
880,1
906,1
